iter	Passed	Remaining
0	5	2796
1	11	2880
2	16	2813
3	23	2941
4	28	2841
5	35	2912
6	40	2851
7	46	2859
8	52	2872
9	59	2896
10	65	2894
11	71	2912
12	77	2895
13	83	2895
14	89	2879
15	98	2988
16	104	2974
17	110	2965
18	116	2948
19	121	2909
20	127	2898
21	132	2877
22	138	2880
23	145	2880
24	151	2869
25	157	2870
26	163	2860
27	169	2854
28	173	2825
29	179	2814
30	184	2789
31	189	2775
32	195	2761
33	201	2754
34	206	2749
35	212	2739
36	217	2718
37	222	2711
38	227	2692
39	233	2690
40	238	2671
41	243	2660
42	249	2656
43	255	2647
44	261	2640
45	266	2634
46	273	2635
47	278	2622
48	284	2617
49	288	2600
50	294	2589
51	298	2574
52	304	2570
53	309	2556
54	315	2551
55	319	2536
56	324	2525
57	330	2516
58	337	2520
59	342	2509
60	348	2510
61	353	2499
62	359	2492
63	364	2480
64	370	2478
65	375	2466
66	380	2462
67	386	2453
68	391	2445
69	397	2440
70	403	2435
71	408	2426
72	413	2417
73	418	2410
74	424	2403
75	430	2402
76	435	2393
77	441	2387
78	446	2381
79	453	2378
80	457	2368
81	465	2372
82	471	2367
83	476	2359
84	482	2353
85	487	2345
86	493	2342
87	498	2334
88	505	2335
89	510	2326
90	516	2321
91	521	2313
92	526	2306
93	531	2294
94	537	2293
95	544	2290
96	549	2283
97	555	2277
98	560	2271
99	566	2264
100	571	2256
101	577	2251
102	581	2243
103	587	2237
104	593	2231
105	598	2225
106	602	2213
107	608	2207
108	613	2201
109	618	2194
110	624	2187
111	630	2182
112	635	2174
113	640	2168
114	645	2160
115	651	2157
116	656	2148
117	663	2146
118	667	2138
119	673	2132
120	677	2122
121	683	2118
122	688	2110
123	694	2104
124	698	2095
125	704	2091
126	708	2081
127	715	2078
128	720	2070
129	727	2069
130	732	2061
131	737	2056
132	742	2047
133	747	2042
134	752	2034
135	758	2029
136	763	2022
137	768	2016
138	773	2009
139	779	2003
140	783	1996
141	791	1994
142	796	1988
143	802	1983
144	807	1977
145	813	1971
146	818	1965
147	823	1958
148	829	1954
149	834	1946
150	840	1942
151	845	1936
152	851	1930
153	855	1922
154	860	1914
155	865	1908
156	869	1900
157	875	1894
158	879	1885
159	883	1878
160	888	1870
161	894	1865
162	898	1858
163	904	1852
164	909	1845
165	914	1840
166	919	1834
167	925	1828
168	929	1821
169	935	1816
170	939	1808
171	944	1801
172	950	1795
173	955	1790
174	960	1783
175	965	1777
176	970	1770
177	975	1763
178	979	1757
179	984	1749
180	988	1742
181	993	1736
182	999	1731
183	1003	1723
184	1009	1718
185	1015	1713
186	1020	1708
187	1025	1701
188	1030	1695
189	1034	1688
190	1040	1683
191	1045	1677
192	1050	1671
193	1055	1665
194	1061	1659
195	1065	1651
196	1069	1645
197	1074	1638
198	1078	1631
199	1084	1626
200	1089	1620
201	1094	1614
202	1098	1607
203	1104	1602
204	1108	1595
205	1113	1589
206	1118	1582
207	1122	1576
208	1127	1569
209	1131	1562
210	1136	1557
211	1140	1549
212	1146	1544
213	1151	1538
214	1157	1534
215	1162	1528
216	1167	1522
217	1172	1516
218	1177	1511
219	1182	1505
220	1188	1499
221	1193	1494
222	1198	1488
223	1204	1483
224	1209	1478
225	1214	1472
226	1220	1468
227	1225	1461
228	1230	1455
229	1234	1449
230	1239	1443
231	1244	1437
232	1248	1430
233	1253	1424
234	1257	1418
235	1263	1412
236	1267	1406
237	1273	1401
238	1278	1395
239	1284	1391
240	1288	1384
241	1294	1380
242	1299	1374
243	1305	1369
244	1309	1363
245	1315	1358
246	1320	1352
247	1325	1346
248	1330	1340
249	1335	1335
250	1339	1328
251	1343	1322
252	1348	1316
253	1353	1310
254	1358	1305
255	1363	1299
256	1369	1295
257	1375	1289
258	1380	1284
259	1385	1278
260	1390	1273
261	1395	1267
262	1400	1261
263	1405	1256
264	1411	1251
265	1415	1245
266	1420	1239
267	1426	1234
268	1431	1229
269	1435	1223
270	1441	1217
271	1445	1211
272	1449	1205
273	1454	1199
274	1460	1195
275	1465	1189
276	1469	1183
277	1474	1177
278	1479	1171
279	1487	1168
280	1491	1162
281	1496	1156
282	1500	1150
283	1505	1145
284	1509	1139
285	1514	1132
286	1518	1127
287	1522	1120
288	1526	1114
289	1531	1109
290	1536	1103
291	1540	1097
292	1543	1090
293	1549	1085
294	1553	1079
295	1558	1073
296	1562	1068
297	1566	1061
298	1571	1056
299	1575	1050
300	1580	1044
301	1584	1038
302	1589	1033
303	1594	1028
304	1599	1022
305	1603	1016
306	1608	1010
307	1612	1005
308	1617	1000
309	1623	994
310	1627	989
311	1632	983
312	1636	977
313	1641	972
314	1645	966
315	1649	960
316	1654	955
317	1659	949
318	1664	944
319	1669	939
320	1675	934
321	1680	928
322	1686	924
323	1690	918
324	1695	912
325	1699	907
326	1703	901
327	1708	895
328	1712	889
329	1716	884
330	1720	878
331	1724	872
332	1729	867
333	1733	861
334	1737	855
335	1741	850
336	1745	844
337	1749	838
338	1753	832
339	1758	827
340	1763	822
341	1767	816
342	1772	811
343	1775	805
344	1780	799
345	1784	794
346	1788	788
347	1793	783
348	1797	777
349	1802	772
350	1806	767
351	1811	761
352	1815	756
353	1819	750
354	1826	745
355	1831	740
356	1836	735
357	1841	730
358	1846	725
359	1850	719
360	1855	714
361	1860	709
362	1865	704
363	1869	698
364	1874	693
365	1879	688
366	1883	682
367	1888	677
368	1892	672
369	1896	666
370	1900	660
371	1905	655
372	1909	650
373	1913	644
374	1918	639
375	1923	634
376	1926	628
377	1932	623
378	1936	618
379	1941	613
380	1945	607
381	1950	602
382	1955	597
383	1958	591
384	1963	586
385	1968	581
386	1972	576
387	1977	570
388	1982	565
389	1986	560
390	1991	555
391	1996	550
392	2000	544
393	2006	539
394	2010	534
395	2015	529
396	2019	523
397	2024	518
398	2030	513
399	2035	508
400	2040	503
401	2044	498
402	2049	493
403	2053	488
404	2059	483
405	2063	477
406	2069	472
407	2074	467
408	2080	462
409	2084	457
410	2090	452
411	2095	447
412	2100	442
413	2105	437
414	2111	432
415	2116	427
416	2122	422
417	2127	417
418	2132	412
419	2137	407
420	2144	402
421	2148	397
422	2154	392
423	2159	387
424	2164	382
425	2169	376
426	2175	371
427	2179	366
428	2186	361
429	2190	356
430	2195	351
431	2200	346
432	2206	341
433	2211	336
434	2216	331
435	2221	326
436	2225	320
437	2230	315
438	2236	310
439	2242	305
440	2248	300
441	2253	295
442	2259	290
443	2264	285
444	2278	281
445	2282	276
446	2287	271
447	2293	266
448	2298	261
449	2302	255
450	2308	250
451	2313	245
452	2319	240
453	2324	235
454	2334	230
455	2342	226
456	2348	221
457	2355	216
458	2363	211
459	2369	206
460	2378	201
461	2385	196
462	2391	191
463	2398	186
464	2404	180
465	2409	175
466	2414	170
467	2419	165
468	2425	160
469	2432	155
470	2440	150
471	2444	145
472	2450	139
473	2454	134
474	2460	129
475	2464	124
476	2471	119
477	2476	113
478	2482	108
479	2488	103
480	2493	98
481	2498	93
482	2503	88
483	2509	82
484	2514	77
485	2520	72
486	2525	67
487	2531	62
488	2535	57
489	2541	51
490	2546	46
491	2552	41
492	2557	36
493	2575	31
494	2579	26
495	2585	20
496	2590	15
497	2596	10
498	2600	5
499	2607	0
